"","Value","Position","Age.x","MP","Starts_Playing_Time","Min_Playing_Time","Gls","Ast","G+A","PK","xG_Expected","xAG_Expected","npxG+xAG_Expected","Squad","Pos","Age.y"
"169",4e+07,"DF",26,10,6,496,0,0,0,0,0.1,0,0.1,NA,NA,NA
"170",3.5e+07,"MF",27,NA,27,2413,5,6,11,0,4.2,4.2,8.4,NA,NA,NA
"171",3.5e+07,"FW",27,NA,23,2156,9,3,12,2,9.1,1.7,9.2,NA,NA,NA
"172",3.5e+07,"MF",23,33,30,2662,8,6,14,2,8.8,4.6,11,NA,NA,NA
"173",3e+07,"FW",27,36,32,2587,24,8,32,7,24.2,6.2,24.1,NA,NA,NA
"174",3e+07,"FW",25,30,18,1540,7,3,10,0,8.7,3.1,11.9,NA,NA,NA
"175",3e+07,"FW",25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",3e+07,"DF",20,36,33,3075,0,0,0,0,0.7,0,0.7,NA,NA,NA
"177",2.8e+07,"GK",27,36,36,3182,0,0,0,0,0,0,0,NA,NA,NA
"178",2.8e+07,"FW",24,29,12,1211,7,2,9,0,5.5,2.7,8.2,NA,NA,NA
"179",2.8e+07,"MF",29,37,29,2565,6,4,10,0,4.1,5.6,9.7,NA,NA,NA
"180",2.7e+07,"FW",24,37,36,2863,13,3,16,0,14.5,2.5,17,NA,NA,NA
"181",2.5e+07,"GK",29,NA,37,3275,0,0,0,0,0,0,0,NA,NA,NA
"182",2.5e+07,"DF",23,35,35,3032,2,7,9,0,2.8,7.5,10.2,NA,NA,NA
"183",2.5e+07,"DF",22,34,24,2245,1,8,9,0,1.5,4.2,5.7,NA,NA,NA
"184",2.5e+07,"FW",28,34,30,2489,23,6,29,0,12.3,4.4,16.7,NA,NA,NA
"185",2.5e+07,"GK",31,38,38,3420,0,0,0,0,0,0,0,NA,NA,NA
"186",2.5e+07,"MF",30,34,25,2075,3,5,8,0,1.8,5,6.8,NA,NA,NA
"187",1e+08,"FW",27,33,31,2656,24,3,27,2,17.6,3.6,18.8,NA,NA,NA
"188",8.5e+07,"MF",23,34,32,2737,11,6,17,0,11.1,6.8,17.9,NA,NA,NA
"189",8e+07,"MF",27,37,34,2846,2,3,5,0,5.1,3.4,8.5,NA,NA,NA
"190",7.5e+07,"FW",25,25,22,1982,15,3,18,3,15.4,3.1,14.6,NA,NA,NA
"191",7.5e+07,"DF",25,28,28,2268,1,3,4,0,1.2,3.4,4.6,NA,NA,NA
"192",7.5e+07,"FW",27,35,34,2687,13,7,20,0,14.3,3.7,18,NA,NA,NA
"193",7.5e+07,"FW",25,NA,29,2512,9,9,18,0,10,9.1,19.1,NA,NA,NA
"194",6e+07,"DF",27,30,29,2077,5,6,11,0,2.9,8.5,11.1,NA,NA,NA
"195",6e+07,"DF",27,36,36,3233,3,0,3,0,1.4,0.4,1.9,NA,NA,NA
