"","Team.x","Player","Value","Position.x","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls_Per_Minutes","Age.x.x","Apps.x","Season.x","Comp.x","Nation.x","PK","Gls","Ast","G+A","xG_Expected.x","xAG_Expected","Sh_Standard","SoT_percent_Standard"
"100","Reims","Joseph Okumu",9e+06,"DF",21,19,1743,19.4,0.05,26,NA,"2023-2024","Ligue 1","KEN",0,1,0,1,1.5,0,11,27.3
"101","PSG","Danilo Pereira",9e+06,"MF",26,22,1995,22.2,0,32,NA,"2023-2024","Ligue 1","POR",0,0,0,0,1.4,0,10,10
"102","Nice","Jordan Lotomba",8e+06,"DF",28,21,1804,20,0.05,25,NA,"2023-2024","Ligue 1","SUI",0,1,0,1,0.9,1.1,11,18.2
"103","Nice","Evann Guessand",8e+06,"FW",34,14,1553,17.3,0.35,22,NA,"2023-2024","Ligue 1","CIV",2,6,0,6,8.4,1.4,46,43.5
"104","Lille","Tiago Santos",8e+06,"DF",29,26,2365,26.3,0.04,21,NA,"2023-2024","Ligue 1","POR",0,1,2,3,1.4,2.3,33,21.2
"105","Bayern München ","Jamal Musiala",1.4e+08,"MF",24,20,1755,19.5,0.51,21,NA,"2023-2024","Bundesliga","GER",0,10,5,15,7.9,6,58,36.2
"106","Bayer Leverkusen ","Florian Wirtz",1.4e+08,"MF",32,26,2372,26.4,0.42,21,NA,"2023-2024","Bundesliga","GER",1,11,11,22,8.9,7.5,70,47.1
"107","Bayern München ","Harry Kane",9e+07,"FW",32,32,2839,31.5,1.14,31,NA,"2023-2024","Bundesliga","ENG",5,36,8,44,30.6,6.4,141,43.3
"108","RB Leipzig ","Xavi Simons",8e+07,"MF",32,32,2653,29.5,0.27,21,NA,"2023-2024","Bundesliga","NED",1,8,11,19,8.3,9.8,79,39.2
"109","RB Leipzig ","Dani Olmo",6e+07,"MF",21,17,1449,16.1,0.25,26,NA,"2023-2024","Bundesliga","ESP",0,4,5,9,3.3,5.4,45,28.9
"110","Eintracht Frankfurt ","Omar Marmoush",6e+07,"FW",29,27,2301,25.6,0.47,25,NA,"2023-2024","Bundesliga","EGY",2,12,6,18,11.6,4.4,77,40.3
"111","Bayern München ","Ryan Gravenberch",5.5e+07,"MF",1,0,10,0.1,0,22,NA,"2023-2024","Bundesliga","NED",0,0,0,0,0,0.2,0,NA
"112","Bayern München ","Dayot Upamecano",5e+07,"DF",25,19,1762,19.6,0.05,26,NA,"2023-2024","Bundesliga","FRA",0,1,0,1,1.7,0.5,11,36.4
"113","Bayern München ","Alphonso Davies",5e+07,"DF",29,24,2065,22.9,0.09,24,NA,"2023-2024","Bundesliga","CAN",0,2,5,7,1,2.9,13,30.8
"114","Bayern München ","Joshua Kimmich",5e+07,"DF",28,27,2176,24.2,0.04,29,NA,"2023-2024","Bundesliga","GER",0,1,6,7,1.1,7.1,25,28
"115","Bayer Leverkusen ","Jeremie Frimpong",5e+07,"MF",31,27,2251,25,0.36,23,NA,"2023-2024","Bundesliga","NED",0,9,7,16,8.2,5.9,55,38.2
"116","RB Leipzig ","Castello Lukeba",5e+07,"DF",32,24,2191,24.3,0.04,21,NA,"2023-2024","Bundesliga","FRA",0,1,0,1,0.8,0.1,7,42.9
"117","RB Leipzig ","Benjamin Šeško",5e+07,"FW",31,17,1526,17,0.83,21,NA,"2023-2024","Bundesliga","SVN",0,14,2,16,7.7,1.1,47,53.2
"118","Bayern München ","Leroy Sané",4.5e+07,"FW",27,25,2137,23.7,0.34,28,NA,"2023-2024","Bundesliga","GER",0,8,11,19,10.9,10.8,73,38.4
"119","Bayern München ","Matthijs de Ligt",4.5e+07,"DF",22,16,1390,15.4,0.13,25,NA,"2023-2024","Bundesliga","NED",0,2,0,2,1.7,0.1,14,42.9
"120","Bayer Leverkusen ","Victor Boniface",4.5e+07,"FW",23,18,1546,17.2,0.82,23,NA,"2023-2024","Bundesliga","NGA",4,14,8,22,15.4,3.7,76,39.5
"121","Stuttgart ","Enzo Millot",4.2e+07,"MF",NA,27,2241,24.9,0.2,22,NA,"2023-2024","Bundesliga","FRA",1,5,4,9,5.3,3.9,38,44.7
"122","Bayern München ","Benjamin Pavard",4e+07,"DF",0,0,NA,NA,NA,28,NA,"2023-2024","Bundesliga","FRA",NA,NA,NA,NA,NA,NA,NA,NA
"123","Bayer Leverkusen ","Álex Grimaldo",4e+07,"DF",33,31,2784,30.9,0.32,29,NA,"2023-2024","Bundesliga","ESP",0,10,13,23,5.7,9.1,71,32.4
"124","Bayer Leverkusen ","Edmond Tapsoba",4e+07,"DF",28,23,2087,23.2,0,25,NA,"2023-2024","Bundesliga","BFA",0,0,1,1,1,1,12,8.3
"125","Bayer Leverkusen ","Exequiel Palacios",4e+07,"MF",24,21,1831,20.3,0.2,26,NA,"2023-2024","Bundesliga","ARG",2,4,4,8,3.3,3.8,19,21.1
"126","Borussia Dortmund ","Gregor Kobel",4e+07,"GK",27,27,2365,26.3,0,26,NA,"2023-2024","Bundesliga","SUI",0,0,0,0,0,0,0,NA
"127","Borussia Dortmund ","Nico Schlotterbeck",4e+07,"DF",33,32,2859,31.8,0.06,24,NA,"2023-2024","Bundesliga","GER",0,2,1,3,3,1.9,27,22.2
