"","Value","Position","Age.x","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"207",4e+07,"DF",24,26.4,47,30,23,15,9,25,43,58.1,18,28,3,25,11,58,26,1
"208",4e+07,"DF",28,18.6,34,21,21,11,2,20,24,83.3,4,25,15,10,32,66,44,1
"209",3.8e+07,"MF",23,22.5,33,21,3,12,18,10,20,50,10,30,2,28,7,40,6,0
"210",3.5e+07,"FW",25,24.6,17,9,7,8,2,6,20,30,14,18,2,16,0,17,30,0
"211",3.5e+07,"MF",26,21.3,28,18,15,8,5,8,28,28.6,20,26,1,25,12,40,9,0
"212",3.5e+07,"GK",29,29,1,0,1,0,0,1,1,100,0,1,0,1,1,2,4,3
"213",3.2e+07,"MF",25,10.6,10,6,3,7,0,4,8,50,4,9,3,6,5,15,19,0
"214",3e+07,"DF",23,10,14,6,10,3,1,6,9,66.7,3,10,7,3,5,19,23,0
"215",3e+07,"FW",25,16.1,15,9,4,5,6,7,14,50,7,7,1,6,4,19,9,0
"216",3e+07,"MF",25,10.4,18,12,8,10,0,7,15,46.7,8,12,5,7,14,32,33,0
"217",3e+07,"MF",25,9.6,17,10,10,7,0,10,19,52.6,9,12,5,7,7,24,33,1
"218",3e+07,"FW",24,7.3,7,4,3,2,2,1,3,33.3,2,4,1,3,2,9,5,0
"219",2.8e+07,"MF",29,36.5,61,39,18,30,13,24,60,40,36,30,8,22,30,91,29,0
"220",2.8e+07,"MF",26,33.4,69,43,24,35,10,31,58,53.4,27,43,17,26,25,94,65,0
"221",2.8e+07,"DF",24,20.1,32,14,23,8,1,19,34,55.9,15,27,14,13,20,52,69,0
"222",2.8e+07,"MF",23,26.6,33,18,17,12,4,15,23,65.2,8,21,3,18,27,60,25,0
"223",2.6e+07,"DF",24,4.2,5,1,2,3,0,1,2,50,1,4,3,1,1,6,12,1
"224",2.5e+07,"DF",22,19,16,11,9,6,1,8,9,88.9,1,18,12,6,21,37,87,3
"225",2.5e+07,"DF",27,27.9,41,21,24,14,3,22,36,61.1,14,22,14,8,27,68,95,1
"226",2.5e+07,"MF",29,29.5,58,39,22,30,6,30,45,66.7,15,26,6,20,25,83,34,0
"227",2.5e+07,"DF",26,29.3,33,19,16,16,1,19,24,79.2,5,26,15,11,19,52,90,1
"228",2.5e+07,"MF",22,14.6,46,28,25,17,4,16,36,44.4,20,27,6,21,23,69,29,0
"229",2.5e+07,"FW",24,19.7,30,15,17,11,2,17,39,43.6,22,20,1,19,10,40,14,0
"230",2.5e+07,"FW",31,29.3,6,5,1,2,3,2,4,50,2,7,1,6,0,6,19,1
